ability_name,ability_type,ability_description
Gomu Gomu no Mi,Devil Fruit,"A Paramecia-type Devil Fruit that turns the user's body into rubber, granting elasticity and immunity to blunt attacks and lightning."
Mera Mera no Mi,Devil Fruit,"A Logia-type Devil Fruit that lets the user create, control, and transform into fire."
Hito Hito no Mi,Devil Fruit,"A Zoan-type Devil Fruit that allows the user to transform into a human or human hybrid, gaining intelligence and reasoning."
Armament,Haki,"A form of spiritual energy that the user channels to coat their body and attacks in an invisible armor, hardening strikes and defense and letting them hit intangible foes directly."
Observation,Haki,"A heightened sixth sense that lets the user perceive the presence, emotions, and intentions of others, and even foresee incoming attacks moments before they land."
Conqueror,Haki,A rare willpower-based ability that lets the user exert their spirit to overwhelm and knock out those with weaker resolve.
Black Leg,Physical Technique,"A powerful kick-based martial art that channels the user's entire fighting strength into the legs, keeping the hands free for cooking."
Rokushiki,Physical Technique,"A superhuman six-technique martial-arts style developed by the Marines, enabling feats like running through the air and iron-hard skin."
Fish-Man Karate,Physical Technique,"A martial art that uses water and palm strikes to send shockwaves through an opponent's body, devastating even on land."
Rubber Body,Devil Fruit,The user becomes elastic and stretches their limbs like rubber.
Flame Body,Devil Fruit,The user turns into living fire and launches burning blasts.
Smoke Body,Devil Fruit,"The user becomes smoke, slips through gaps, and surrounds enemies."
Sand Body,Devil Fruit,The user transforms into sand and dries anything they touch.
Ice Creation,Devil Fruit,The user freezes seawater and creates ice weapons from the air.
Lightning Form,Devil Fruit,The user becomes lightning and fires electric bolts.
Light Form,Devil Fruit,The user moves as light and releases laser-like beams.
Magma Creation,Devil Fruit,The user produces molten rock that burns through weapons and armor.
Venom Creation,Devil Fruit,The user secretes poison from their body and floods the area with toxins.
Shadow Control,Devil Fruit,The user steals shadows and controls animated bodies with them.
String Creation,Devil Fruit,"The user creates thin strings, controls targets, and slices objects from a distance."
Barrier Creation,Devil Fruit,The user creates transparent barriers that block attacks.
Gravity Control,Devil Fruit,The user changes gravity around targets and pulls meteors downward.
Room Operation,Devil Fruit,"The user creates a spherical field where they can swap, cut, and move objects freely."
Soul Manipulation,Devil Fruit,The user removes pieces of life force and places them into objects.
Flowering Limbs,Devil Fruit,The user sprouts extra arms and eyes from nearby surfaces.
Door Creation,Devil Fruit,"The user opens doors through walls, bodies, and even empty air."
Mirror World,Devil Fruit,The user travels through mirrors and traps opponents in reflected spaces.
Age Control,Devil Fruit,The user changes the age of themselves and other people by touch.
Hormone Control,Devil Fruit,The user changes bodies by injecting special hormones through their fingers.
Toy Transformation,Devil Fruit,The user turns living targets into toys and erases memory of them from others.
Book Prison,Devil Fruit,The user traps people and objects inside floating books.
Castle Body,Devil Fruit,The user turns their body into a living fortress that can store allies and weapons.
Magnetism Control,Devil Fruit,The user attracts and repels metal to build giant mechanical arms.
Clone Creation,Devil Fruit,The user creates wax-like copies and disguises them as other people.
Wax Creation,Devil Fruit,"The user produces hardened wax to form armor, keys, and restraints."
Bubble Washing,Devil Fruit,The user creates bubbles that wash away strength and make enemies slippery.
Slow Beam,Devil Fruit,The user fires a beam that slows anything it touches for a short time.
